_id,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,LONG_WGS84,LAT_WGS84,geometry
1,GO-20141263544,B&E,2013-12-26,2013,December,Thursday,26,360,19,2014-01-01,2014,January,Wednesday,1,1,17,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,FELT,F59,RC,21,SILRED,1300,STOLEN,-79.39564273478432,43.64002067912439,"{""coordinates"": [[-79.395642735, 43.640020679]], ""type"": ""MultiPoint""}"
2,GO-20141261431,THEFT UNDER,2014-01-01,2014,January,Wednesday,1,1,7,2014-01-01,2014,January,Wednesday,1,1,7,D14,"Apartment (Rooming House, Condo)",Apartment,SUPERCYCLE,None,MT,10,None,,STOLEN,-79.44364511878375,43.6376571871944,"{""coordinates"": [[-79.4436451189999, 43.637657187]], ""type"": ""MultiPoint""}"
3,GO-20141263784,PROPERTY - FOUND,2014-01-01,2014,January,Wednesday,1,1,18,2014-01-01,2014,January,Wednesday,1,1,18,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TREK,SOHO S,RG,1,BLK,,RECOVERED,-79.41465352984807,43.660524804689395,"{""coordinates"": [[-79.41465353, 43.6605248050001]], ""type"": ""MultiPoint""}"
4,GO-20149000090,THEFT UNDER,2014-01-01,2014,January,Wednesday,1,1,12,2014-01-02,2014,January,Thursday,2,2,20,D52,"Apartment (Rooming House, Condo)",Apartment,GI,TCX2 (2010),OT,9,BLU,1019,STOLEN,-79.3937600356872,43.642772181875884,"{""coordinates"": [[-79.393760036, 43.642772182]], ""type"": ""MultiPoint""}"
5,GO-20149000071,THEFT UNDER,2013-12-25,2013,December,Wednesday,25,359,10,2014-01-02,2014,January,Thursday,2,2,14,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,BI,None,TO,25,RED,400,STOLEN,-79.37376715504146,43.667288406453174,"{""coordinates"": [[-79.3737671549999, 43.6672884060001]], ""type"": ""MultiPoint""}"
6,GO-20149000074,THEFT UNDER,2013-12-25,2013,December,Wednesday,25,359,16,2014-01-02,2014,January,Thursday,2,2,16,D51,"Apartment (Rooming House, Condo)",Apartment,CA,RZ 120 1,MT,21,WHI,1500,STOLEN,-79.37269015055186,43.652376591480255,"{""coordinates"": [[-79.372690151, 43.6523765910001]], ""type"": ""MultiPoint""}"
7,GO-20141267465,THEFT UNDER,2013-09-30,2013,September,Monday,30,273,0,2014-01-02,2014,January,Thursday,2,2,12,D14,"Apartment (Rooming House, Condo)",Apartment,NORCO,CHARGER 9.2,MT,21,BLK,750,STOLEN,-79.40467753177275,43.648963789626805,"{""coordinates"": [[-79.4046775319999, 43.64896379]], ""type"": ""MultiPoint""}"
8,GO-20141266048,THEFT UNDER,2013-12-30,2013,December,Monday,30,364,17,2014-01-02,2014,January,Thursday,2,2,8,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KHS,VITAMIN A,OT,24,WHI,500,STOLEN,-79.42956569181044,43.718424762575225,"{""coordinates"": [[-79.429565692, 43.718424763]], ""type"": ""MultiPoint""}"
9,GO-20149000113,THEFT UNDER,2013-12-31,2013,December,Tuesday,31,365,0,2014-01-03,2014,January,Friday,3,3,16,D51,"Apartment (Rooming House, Condo)",Apartment,KO,None,RC,18,BLK,1500,STOLEN,-79.37518954869476,43.65180399090766,"{""coordinates"": [[-79.375189549, 43.6518039910001]], ""type"": ""MultiPoint""}"
10,GO-20149000113,THEFT UNDER,2013-12-31,2013,December,Tuesday,31,365,0,2014-01-03,2014,January,Friday,3,3,16,D51,"Apartment (Rooming House, Condo)",Apartment,OT,None,RC,18,BLK,1200,STOLEN,-79.37518954869476,43.65180399090766,"{""coordinates"": [[-79.375189549, 43.6518039910001]], ""type"": ""MultiPoint""}"
