holiday,rain_1h,snow_1h,cloud_coverage_percentage,weather_main,weather_description,date_time,traffic_volume,year,month,hour,weekday,is_weekend,temp_celsius
,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,2012,10,9,Tuesday,False,15.13
,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,2012,10,10,Tuesday,False,16.21
,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,2012,10,11,Tuesday,False,16.43
,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,2012,10,12,Tuesday,False,16.98
,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,2012,10,13,Tuesday,False,17.99
,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,2012,10,14,Tuesday,False,18.57
,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,2012,10,15,Tuesday,False,20.02
,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,2012,10,16,Tuesday,False,20.71
,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,2012,10,17,Tuesday,False,20.99
,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,2012,10,18,Tuesday,False,19.95
,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,2012,10,19,Tuesday,False,17.82
,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,2012,10,20,Tuesday,False,16.23
,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,2012,10,21,Tuesday,False,15.46
,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,2012,10,22,Tuesday,False,14.01
,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,2012,10,23,Tuesday,False,12.3
,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,2012,10,0,Wednesday,False,11.48
,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,2012,10,1,Wednesday,False,10.32
,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,2012,10,2,Wednesday,False,8.03
,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,2012,10,3,Wednesday,False,7.94
,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,2012,10,4,Wednesday,False,6.38
,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,2012,10,5,Wednesday,False,5.47
,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,2012,10,6,Wednesday,False,5.08
,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,2012,10,8,Wednesday,False,4.97
,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,2012,10,9,Wednesday,False,9.33
,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,2012,10,12,Wednesday,False,18.82
,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,2012,10,13,Wednesday,False,20.08
,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,2012,10,14,Wednesday,False,21.16
,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,2012,10,15,Wednesday,False,22.02
,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,2012,10,16,Wednesday,False,21.98
,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,2012,10,18,Wednesday,False,20.51
,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,2012,10,19,Wednesday,False,17.5
,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,2012,10,20,Wednesday,False,15.04
,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,2012,10,21,Wednesday,False,13.95
,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,2012,10,22,Wednesday,False,13.1
,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,2012,10,23,Wednesday,False,12.11
,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,2012,10,0,Thursday,False,11.4
,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,2012,10,1,Thursday,False,10.32
,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,2012,10,2,Thursday,False,10.02
,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,2012,10,3,Thursday,False,8.89
,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,2012,10,4,Thursday,False,8.54
,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,2012,10,5,Thursday,False,8.17
,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,2012,10,6,Thursday,False,7.59
,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,2012,10,7,Thursday,False,7.42
,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,2012,10,8,Thursday,False,8.71
,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,2012,10,9,Thursday,False,11.83
,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,2012,10,10,Thursday,False,16.03
,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,2012,10,11,Thursday,False,18.4
,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,2012,10,12,Thursday,False,21.82
,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,2012,10,13,Thursday,False,23.23
,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,2012,10,14,Thursday,False,24.17
,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,2012,10,15,Thursday,False,25.02
,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,2012,10,16,Thursday,False,24.91
,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,2012,10,17,Thursday,False,24.52
,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,2012,10,18,Thursday,False,23.21
,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,2012,10,19,Thursday,False,20.7
,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,2012,10,20,Thursday,False,19.28
,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,2012,10,21,Thursday,False,18.62
,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,2012,10,22,Thursday,False,18.21
,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,2012,10,23,Thursday,False,17.97
,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,2012,10,0,Friday,False,17.48
,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,2012,10,1,Friday,False,17.31
,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,2012,10,3,Friday,False,16.11
,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,2012,10,5,Friday,False,10.06
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,2012,10,6,Friday,False,9.09
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,2012,10,7,Friday,False,8.54
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,2012,10,8,Friday,False,7.42
,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,2012,10,9,Friday,False,6.87
,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,2012,10,10,Friday,False,6.96
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,2012,10,11,Friday,False,6.85
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,2012,10,12,Friday,False,7.38
,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,2012,10,13,Friday,False,8.28
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,2012,10,14,Friday,False,8.63
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,2012,10,15,Friday,False,8.76
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,2012,10,16,Friday,False,8.58
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,2012,10,17,Friday,False,8.27
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,2012,10,18,Friday,False,7.72
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,2012,10,19,Friday,False,7.0
,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,2012,10,20,Friday,False,6.63
,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,2012,10,21,Friday,False,6.5
,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,2012,10,22,Friday,False,6.07
,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,2012,10,23,Friday,False,5.91
,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,2012,10,0,Saturday,True,5.66
